id,category,question,answer,business_type,monthly_income,monthly_expense,profit,profit_margin,date,network,location,risk_level
37,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Salon,,,,,2026-01-15,Telecel,Bolgatanga,High
38,Mobile Money Fraud,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Pharmacy,5000.0,,,30.0,2026-01-05,,Takoradi,High
39,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,1980.0,,0.0,0.0,2026-01-05,MTN,,Low
40,Savings,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Salon,5000.0,,0.0,30.0,2026-01-05,Telecel,Bolgatanga,High
41,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,Bakery,29584.0,,,30.0,2026-01-05,Telecel,Tamale,Low
42,Mobile Money Fraud,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Boutique,5000.0,,,,2026-01-05,AirtelTigo,,High
43,Mobile Money Fraud,budjet help,Track income and expenses. Separate business and personal money.,General,5000.0,2000.0,0.0,30.0,2026-01-05,AirtelTigo,Cape Coast,Low
44,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Pharmacy,,2500.0,,30.0,2026-01-05,,,Low
45,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Trader,,,,30.0,2026-01-15,,Takoradi,Low
46,Savings,save tips,Save 10-30% of profits and keep emergency funds.,Pharmacy,5000.0,12265.0,-500.0,30.0,2026-01-05,,Kumasi,High
47,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,General,,2000.0,300.0,25.0,2026-01-15,,Takoradi,High
48,Savings,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Boutique,,2500.0,-500.0,30.0,,AirtelTigo,Ho,
49,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Boutique,14124.0,,,25.0,2026-01-05,,Kumasi,Low
50,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,General,5000.0,2000.0,0.0,25.0,2026-01-05,,Sunyani,
51,Mobile Money Fraud,Emergency fund,Save 10-30% of profits and keep emergency funds.,Salon,5000.0,,0.0,25.0,2026-01-05,Telecel,Tamale,High
52,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Trader,,,,30.0,,AirtelTigo,Tamale,High
53,Savings,Emergency fund,,Pharmacy,5000.0,,,,2026-01-05,,Tamale,Low
54,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Trader,5000.0,,,30.0,2026-01-15,AirtelTigo,Ho,Medium
55,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,,,30.0,2026-01-05,MTN,Kumasi,High
56,Profit Margin,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,,0.0,,,AirtelTigo,Bolgatanga,Low
57,Profit Margin,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,General,2040.0,2000.0,0.0,0.0,2026-01-05,,Kumasi,Low
58,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Salon,,2000.0,,30.0,2026-01-05,Telecel,Accra,
59,Profit Margin,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,General,19837.0,9131.0,10706.0,54.0,,,Bolgatanga,High
60,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Farmer,,2500.0,300.0,25.0,,MTN,Kumasi,High
61,Profit Margin,How to compute margin?,,Retail Shop,5000.0,2500.0,-500.0,30.0,2026-01-05,,Bolgatanga,High
62,Profit Margin,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Salon,,9739.0,300.0,,2026-01-13,,Cape Coast,Low
63,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Bakery,,2500.0,-500.0,30.0,2026-01-13,MTN,Takoradi,Medium
64,Savings,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Pharmacy,27217.0,2000.0,0.0,30.0,,MTN,Ho,Medium
65,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,General,,2000.0,,30.0,2026-01-15,Telecel,Cape Coast,Low
66,Savings,save tips,Save 10-30% of profits and keep emergency funds.,Bakery,,,,,2026-01-05,AirtelTigo,Accra,Medium
67,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Pharmacy,,2500.0,,25.0,2026-01-05,Telecel,Ho,Low
68,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Restaurant,,2500.0,300.0,25.0,2026-01-15,,Accra,
69,Savings,Budget tips,Track income and expenses. Separate business and personal money.,Pharmacy,24664.0,,,25.0,2026-01-15,,Cape Coast,
70,Savings,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Farmer,10528.0,4374.0,6154.0,58.5,2026-01-05,MTN,Wa,Medium
71,Savings,How can I save money?,Save 10-30% of profits and keep emergency funds.,Salon,5000.0,2500.0,0.0,0.0,2026-01-05,Telecel,,High
72,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,2500.0,2500.0,30.0,2026-01-05,AirtelTigo,Wa,
73,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Pharmacy,,,0.0,,2026-01-13,Telecel,Cape Coast,Low
74,Profit Margin,Susu advice,Save 10-30% of profits and keep emergency funds.,Salon,22081.0,2639.0,19442.0,88.0,2026-01-05,,Takoradi,Low
75,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Boutique,5000.0,2000.0,3000.0,60.0,2026-01-15,AirtelTigo,Bolgatanga,Low
76,Savings,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Food Vendor,,,,30.0,,Telecel,Kumasi,Low
77,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,,300.0,30.0,2026-01-05,,,Medium
78,Savings,Profit formula?,Profit Margin=(Profit/Revenue)*100,General,,,-500.0,30.0,2026-01-05,MTN,Kumasi,Medium
79,Mobile Money Fraud,budjet help,Track income and expenses. Separate business and personal money.,Boutique,,,0.0,30.0,2026-01-05,MTN,Ho,
80,Savings,Daily savings,,Pharmacy,,2500.0,,30.0,2026-01-15,Telecel,,
81,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,,,,,2026-01-15,AirtelTigo,Accra,
82,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Bakery,,,300.0,,2026-01-05,MTN,Accra,Low
83,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,Restaurant,5000.0,2000.0,300.0,25.0,2026-01-05,AirtelTigo,Bolgatanga,High
84,Profit Margin,Budget tips,Track income and expenses. Separate business and personal money.,Bakery,,678.0,,,2026-01-05,Telecel,Wa,Low
85,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Pharmacy,5000.0,2000.0,300.0,6.0,2026-01-05,MTN,Wa,
86,Savings,Susu advice,Save 10-30% of profits and keep emergency funds.,Farmer,6097.0,2500.0,3597.0,30.0,2026-01-05,AirtelTigo,Tamale,Medium
87,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Retail Shop,,2000.0,300.0,30.0,2026-01-05,MTN,Bolgatanga,High
88,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Retail Shop,15961.0,20195.0,-4234.0,-26.5,2026-01-05,,Tamale,Medium
89,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Salon,5000.0,3156.0,0.0,0.0,2026-01-05,Telecel,Tamale,Low
90,Savings,Susu advice,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,2000.0,-500.0,25.0,,,Bolgatanga,
91,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,General,5000.0,23077.0,-18077.0,-361.5,,Telecel,Bolgatanga,High
92,Mobile Money Fraud,Emergency fund,Save 10-30% of profits and keep emergency funds.,Pharmacy,,,0.0,,2026-01-05,Telecel,Sunyani,High
93,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,General,,,-500.0,25.0,,MTN,Bolgatanga,Low
94,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Trader,3368.0,13827.0,-10459.0,-310.5,2026-01-15,Telecel,Ho,Low
95,Mobile Money Fraud,Profit formula?,Profit Margin=(Profit/Revenue)*100,Trader,13000.0,2500.0,0.0,30.0,2026-01-05,Telecel,Tamale,High
96,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,Bakery,5000.0,,,,2026-01-05,MTN,Kumasi,
97,Profit Margin,Fake promotion SMS,,General,5000.0,,-500.0,25.0,2026-01-13,Telecel,Cape Coast,High
98,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Salon,5000.0,2500.0,-500.0,-10.0,2026-01-15,MTN,,Low
99,Budgeting,How to compute margin?,,Farmer,5000.0,22851.0,300.0,6.0,2026-01-05,,Wa,Low
100,Savings,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Pharmacy,,,0.0,,2026-01-05,,Cape Coast,High
101,Budgeting,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Farmer,,,,30.0,2026-01-05,,Takoradi,
102,Profit Margin,Susu advice,Save 10-30% of profits and keep emergency funds.,General,1416.0,,,30.0,2026-01-05,Telecel,,High
103,Mobile Money Fraud,Daily savings,,Pharmacy,5000.0,,,,2026-01-15,Telecel,Accra,Low
104,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,General,12188.0,10221.0,1967.0,16.1,2026-01-05,Telecel,Sunyani,
105,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Retail Shop,5000.0,2000.0,0.0,25.0,2026-01-05,Telecel,Takoradi,Low
106,Profit Margin,Fake promotion SMS,,General,17594.0,2500.0,15094.0,30.0,2026-01-05,AirtelTigo,Ho,
107,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,2500.0,0.0,30.0,2026-01-05,Telecel,,Medium
108,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,5000.0,2500.0,2500.0,50.0,2026-01-05,AirtelTigo,Ho,High
109,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,,,30.0,2026-01-05,MTN,Sunyani,Low
110,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,2000.0,0.0,,2026-01-15,Telecel,Tamale,Low
111,Savings,Margin example,Profit Margin=(Profit/Revenue)*100,Pharmacy,13535.0,2000.0,0.0,30.0,2026-01-05,MTN,Cape Coast,High
112,Mobile Money Fraud,Profit formula?,Profit Margin=(Profit/Revenue)*100,Farmer,,,,25.0,2026-01-15,Telecel,Wa,Low
113,Mobile Money Fraud,budjet help,Track income and expenses. Separate business and personal money.,Food Vendor,6564.0,,300.0,4.6,2026-01-13,AirtelTigo,Takoradi,High
114,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Food Vendor,,2500.0,0.0,,2026-01-05,MTN,,Low
115,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,,-500.0,30.0,2026-01-05,Telecel,Tamale,Low
116,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,Bakery,5000.0,2500.0,2500.0,30.0,2026-01-13,Telecel,,Medium
117,Profit Margin,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,19624.0,,,,,,Accra,
118,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Retail Shop,,4723.0,0.0,,2026-01-15,,Sunyani,
119,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Pharmacy,8443.0,2500.0,5943.0,70.4,2026-01-13,Telecel,,Low
120,Profit Margin,Monthly budget template,Track income and expenses. Separate business and personal money.,Boutique,21429.0,15173.0,6256.0,29.2,,Telecel,Accra,
121,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Pharmacy,,,,30.0,,,Bolgatanga,Low
122,Mobile Money Fraud,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Bakery,,2500.0,300.0,30.0,2026-01-13,,,Low
123,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Boutique,27750.0,2000.0,25750.0,92.8,2026-01-15,Telecel,Cape Coast,Low
124,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Retail Shop,10009.0,,,25.0,2026-01-05,,Ho,Low
125,Savings,Susu advice,Save 10-30% of profits and keep emergency funds.,Trader,16719.0,,,,2026-01-05,MTN,Ho,Low
126,Mobile Money Fraud,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Boutique,,20512.0,-500.0,30.0,2026-01-05,MTN,Ho,Low
127,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Pharmacy,10230.0,,0.0,0.0,2026-01-13,Telecel,Ho,Low
128,Mobile Money Fraud,Profit formula?,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,,-500.0,-10.0,,Telecel,Accra,High
129,Mobile Money Fraud,Profit formula?,Profit Margin=(Profit/Revenue)*100,Retail Shop,5000.0,7691.0,0.0,30.0,2026-01-05,Telecel,Wa,High
130,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,Restaurant,,,0.0,25.0,2026-01-05,,Bolgatanga,High
131,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,5000.0,2000.0,-500.0,30.0,2026-01-05,MTN,Cape Coast,High
132,Profit Margin,momo fraud help,,Bakery,,2000.0,,,2026-01-05,MTN,Bolgatanga,Medium
133,Mobile Money Fraud,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Restaurant,20722.0,,0.0,0.0,,,Kumasi,
134,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Bakery,,,,,2026-01-13,MTN,Takoradi,Medium
135,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,5906.0,-906.0,-18.1,2026-01-05,,Wa,
136,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,,,,2026-01-05,Telecel,Ho,Low
137,Savings,How do I create a business budget?,Track income and expenses. Separate business and personal money.,General,,,,25.0,2026-01-15,Telecel,Cape Coast,
138,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Pharmacy,11410.0,2500.0,-500.0,-4.4,2026-01-15,MTN,Wa,Low
139,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Restaurant,,18725.0,-500.0,,2026-01-13,,Bolgatanga,Medium
140,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,16041.0,0.0,25.0,2026-01-05,Telecel,Kumasi,Low
141,Savings,Monthly budget template,Track income and expenses. Separate business and personal money.,Trader,,,-500.0,30.0,2026-01-05,AirtelTigo,Takoradi,Low
142,Savings,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Food Vendor,12635.0,2500.0,-500.0,-4.0,2026-01-13,,Accra,Medium
143,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Farmer,,2500.0,300.0,,2026-01-05,Telecel,Bolgatanga,High
144,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,5000.0,,300.0,6.0,2026-01-13,,Tamale,Medium
145,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,Salon,5000.0,24936.0,-19936.0,30.0,2026-01-13,AirtelTigo,,Low
146,Savings,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Retail Shop,,2000.0,-500.0,,2026-01-05,Telecel,Bolgatanga,High
147,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,,-500.0,-10.0,2026-01-05,AirtelTigo,,
148,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,Bakery,25645.0,2000.0,23645.0,92.2,,MTN,Bolgatanga,High
149,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Farmer,,6581.0,300.0,30.0,,MTN,Sunyani,Low
150,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Boutique,5000.0,,-500.0,-10.0,2026-01-05,MTN,,Medium
151,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Trader,,,0.0,,2026-01-05,Telecel,Wa,Low
152,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,22507.0,24850.0,-2343.0,-10.4,2026-01-05,,Takoradi,High
153,Mobile Money Fraud,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Boutique,5000.0,,,25.0,2026-01-05,MTN,Sunyani,Low
154,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Bakery,18084.0,,-500.0,30.0,2026-01-05,,Bolgatanga,
155,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Boutique,,2000.0,-500.0,25.0,2026-01-05,AirtelTigo,Accra,Low
156,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Trader,5000.0,2000.0,3000.0,60.0,2026-01-05,AirtelTigo,Cape Coast,Low
157,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Bakery,5000.0,2500.0,2500.0,50.0,2026-01-05,,,High
158,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Farmer,5000.0,,0.0,30.0,2026-01-05,MTN,,
159,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Farmer,26134.0,,-500.0,-1.9,2026-01-05,MTN,Kumasi,Medium
160,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Boutique,5000.0,2000.0,3000.0,30.0,2026-01-05,Telecel,Tamale,High
161,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Boutique,14744.0,,-500.0,30.0,2026-01-15,Telecel,Sunyani,High
162,Profit Margin,budjet help,Track income and expenses. Separate business and personal money.,General,,18637.0,300.0,,2026-01-05,,Wa,
163,Savings,Profit formula?,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,2500.0,2500.0,25.0,2026-01-15,MTN,Accra,Medium
164,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Trader,5703.0,2000.0,-500.0,-8.8,2026-01-05,MTN,Ho,Low
165,Profit Margin,Profit formula?,Profit Margin=(Profit/Revenue)*100,Retail Shop,5000.0,,0.0,30.0,2026-01-05,,Wa,Medium
166,Savings,Budget tips,,Salon,5000.0,2000.0,3000.0,30.0,,,Ho,High
167,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Salon,,,300.0,30.0,2026-01-13,Telecel,Wa,Low
168,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Farmer,,2000.0,-500.0,,2026-01-05,Telecel,Bolgatanga,Medium
169,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,General,,2000.0,300.0,30.0,2026-01-05,,Kumasi,High
170,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,,-500.0,25.0,2026-01-05,AirtelTigo,Kumasi,Low
171,Savings,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Farmer,29581.0,,0.0,30.0,2026-01-05,MTN,Accra,High
172,Mobile Money Fraud,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,,0.0,30.0,2026-01-15,AirtelTigo,Cape Coast,High
173,Savings,Emergency fund,Save 10-30% of profits and keep emergency funds.,Farmer,5000.0,19264.0,300.0,30.0,,Telecel,Wa,Medium
174,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Salon,,2000.0,300.0,25.0,2026-01-05,,Tamale,Low
175,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,5000.0,2000.0,300.0,6.0,2026-01-05,,,
176,Profit Margin,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Farmer,,2000.0,0.0,30.0,2026-01-13,MTN,Bolgatanga,Medium
177,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Salon,,2000.0,300.0,30.0,2026-01-05,AirtelTigo,Accra,Low
178,Profit Margin,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Trader,5000.0,,,,2026-01-05,,Accra,Low
179,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,General,5000.0,,,,2026-01-15,,Tamale,Medium
180,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Salon,,23249.0,,30.0,2026-01-15,,Kumasi,Medium
181,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,2500.0,-500.0,25.0,2026-01-05,MTN,Sunyani,Low
182,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Boutique,23464.0,3728.0,19736.0,84.1,2026-01-15,Telecel,Tamale,Low
183,Savings,Susu advice,,Pharmacy,12694.0,2500.0,-500.0,-3.9,2026-01-05,Telecel,Accra,High
184,Mobile Money Fraud,Daily savings,,Bakery,20345.0,2000.0,-500.0,-2.5,2026-01-05,Telecel,Tamale,Medium
185,Savings,How can I save money?,Save 10-30% of profits and keep emergency funds.,Pharmacy,,,0.0,25.0,2026-01-05,MTN,Accra,High
186,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Farmer,,,300.0,25.0,2026-01-05,AirtelTigo,Wa,High
187,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Farmer,,,,30.0,,Telecel,Cape Coast,
188,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,Farmer,,2500.0,0.0,25.0,2026-01-05,MTN,Bolgatanga,Low
189,Mobile Money Fraud,How do I create a business budget?,,Farmer,,2000.0,,30.0,2026-01-05,Telecel,Takoradi,Low
190,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Restaurant,,2500.0,,,2026-01-05,,Bolgatanga,Medium
191,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Boutique,,17238.0,-500.0,,2026-01-15,AirtelTigo,Takoradi,Medium
192,Mobile Money Fraud,How to reduce expenses?,,Bakery,5000.0,2500.0,-500.0,-10.0,2026-01-15,MTN,Cape Coast,High
193,Profit Margin,proffit margin,Profit Margin=(Profit/Revenue)*100,Boutique,,,-500.0,30.0,2026-01-05,,Accra,
